id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Bloom,Saffron Sky,classical,relaxed,0.25,65,0.55,0.30,0.95
12,Bass Drop Circuit,Kilowatt,edm,intense,0.95,140,0.62,0.91,0.04
13,Heartbreak Highway,June Mornings,country,sad,0.48,96,0.28,0.55,0.72
14,Temple Dawn,Raga River,world,peaceful,0.30,70,0.68,0.45,0.88
15,Cypher Nights,MC Axis,hip hop,confident,0.80,95,0.58,0.85,0.15
16,Velvet Regret,Ella Moss,blues,melancholy,0.38,82,0.22,0.48,0.80
17,Synapse Pulse,Protocol 7,techno,hype,0.88,128,0.50,0.89,0.06
18,Campfire Letters,Pine Hollow,folk,nostalgic,0.32,88,0.45,0.40,0.91
19,Sunday Brunch,Tangerine Trio,jazz,happy,0.52,104,0.78,0.68,0.82
20,Monsoon Memory,Tidelines,r&b,moody,0.55,92,0.40,0.70,0.60
